                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2173,                 3.4829,                 1.8349,                 0.0025,                      1,                0.04225,                0.01001,                 1.2366,                 4.2152,                 2.1612,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.1344,                 3.4592,                 1.8052,                 0.0025,                      1,                0.07347,                0.02907,                0.89026,                  4.278,                 1.7794,              5.406e-05,              5.406e-05,              5.406e-05
                      3,                0.90517,                  3.186,                 1.5429,                 0.0025,                      1,                0.19755,                0.10259,                0.60128,                 3.6141,                 1.3202,               8.02e-05,               8.02e-05,               8.02e-05
                      4,                0.73343,                 2.8392,                 1.2834,                 0.0025,                      1,                 0.5946,                 0.4498,                0.40798,                 3.5105,                 1.1231,              9.842e-05,              9.842e-05,              9.842e-05
                      5,                0.61078,                 2.5026,                 1.2008,                 0.0025,                      1,                   0.83,                0.65333,                 0.4197,                 3.3391,                 1.0894,             0.00010872,             0.00010872,             0.00010872
                      6,                0.54301,                 2.0067,                 1.1043,                 0.0025,                      1,                 0.9125,                0.81356,                0.43226,                 3.3592,                 1.0717,              0.0001111,              0.0001111,              0.0001111
                      7,                0.53962,                  1.864,                 1.1335,                 0.0025,                      1,                  0.995,                0.88506,                0.44948,                 3.3392,                 1.1161,             0.00010556,             0.00010556,             0.00010556
                      8,                0.45671,                 1.7488,                 1.0153,                 0.0025,                      1,                  0.995,                0.86308,                0.45911,                 3.2899,                 1.1088,               9.21e-05,               9.21e-05,               9.21e-05
                      9,                0.37396,                 1.5892,                0.98174,                 0.0025,                      1,                  0.995,                0.86308,                0.45701,                 3.3092,                 1.0744,              7.072e-05,              7.072e-05,              7.072e-05
                     10,                 0.4467,                 1.5776,                 1.0285,                 0.0025,                      1,                  0.995,                0.86308,                0.43917,                 3.3101,                 1.0618,              4.142e-05,              4.142e-05,              4.142e-05
